Penalty,C,Solver,Accuracy
l2,1,newton-cg,0.7672228477838059
l2,1,liblinear,0.8112396355819429
l2,1,sag,0.7672228477838059
l2,2,newton-cg,0.7904596171563107
l2,2,liblinear,0.8147200327566793
l2,2,sag,0.7904596171563107
l2,6,newton-cg,0.8058143105742656
l2,6,liblinear,0.8158460436073293
l2,6,sag,0.8058143105742656
l2,18,newton-cg,0.8143105742655339
l2,18,liblinear,0.8183027945542021
l2,18,sag,0.8143105742655339
l2,48,newton-cg,0.8188146176681339
l2,48,liblinear,0.8200429931415703
l2,48,sag,0.8188146176681339
l2,127,newton-cg,0.8209642747466476
l2,127,liblinear,0.8217831917289384
l2,127,sag,0.8209642747466476
l2,335,newton-cg,0.8218855563517249
l2,335,liblinear,0.8221926502200839
l2,335,sag,0.8218855563517249
l2,885,newton-cg,0.8218855563517249
l2,885,liblinear,0.8221926502200839
l2,885,sag,0.8218855563517249
l2,2335,newton-cg,0.8216808271061521
l2,2335,liblinear,0.8217831917289384
l2,2335,sag,0.8216808271061521
l2,6158,newton-cg,0.8216808271061521
l2,6158,liblinear,0.8217831917289384
l2,6158,sag,0.8216808271061521
l2,16237,newton-cg,0.8216808271061521
l2,16237,liblinear,0.8217831917289384
l2,16237,sag,0.8216808271061521
l2,42813,newton-cg,0.8216808271061521
l2,42813,liblinear,0.8216808271061521
l2,42813,sag,0.8216808271061521
l2,112883,newton-cg,0.8216808271061521
l2,112883,liblinear,0.8216808271061521
l2,112883,sag,0.8216808271061521
l2,297635,newton-cg,0.8216808271061521
l2,297635,liblinear,0.8216808271061521
l2,297635,sag,0.8216808271061521
l2,784759,newton-cg,0.8216808271061521
l2,784759,liblinear,0.8216808271061521
l2,784759,sag,0.8216808271061521
l2,2069138,newton-cg,0.8216808271061521
l2,2069138,liblinear,0.8216808271061521
l2,2069138,sag,0.8217831917289384
l2,5455594,newton-cg,0.8216808271061521
l2,5455594,liblinear,0.8216808271061521
l2,5455594,sag,0.8217831917289384
l2,14384498,newton-cg,0.8216808271061521
l2,14384498,liblinear,0.8216808271061521
l2,14384498,sag,0.8216808271061521
l2,37926901,newton-cg,0.8216808271061521
l2,37926901,liblinear,0.8216808271061521
l2,37926901,sag,0.8216808271061521
l2,100000000,newton-cg,0.8216808271061521
l2,100000000,liblinear,0.8216808271061521
l2,100000000,sag,0.8216808271061521
